Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
100002,135,5,98095,2,2,4,224
100004,315,3,39147,1,1,2,112
100029,61,10,55240,3,4,3,343
100044,7,9,153991,5,4,5,545
100051,688,1,59999,1,1,3,113
100053,7,23,225048,5,5,5,555
100054,34,8,70142,4,3,3,433
100057,292,4,9796,1,2,1,121
100058,82,5,43195,3,2,3,323
100062,38,5,94995,4,2,4,424
100071,33,9,41257,4,4,2,442
100074,50,5,34595,3,2,2,322
100079,38,24,199376,4,5,5,455
100093,121,3,110997,2,1,4,214
100098,89,9,30271,3,4,2,342
100107,247,3,2497,1,1,1,111
100140,62,21,70879,3,5,3,353
100154,17,6,61794,5,2,3,523
100168,12,4,56696,5,2,3,523
100171,145,3,5897,2,1,1,211
100210,85,4,5607,3,2,1,321
100217,596,2,12998,1,1,1,111
100225,13,4,53946,5,2,3,523
100235,41,23,111457,4,5,4,454
100238,260,10,85257,1,4,4,144
100240,110,8,8742,2,3,1,231
100263,25,8,45592,4,3,3,433
100283,63,9,96341,3,4,4,344
100294,437,1,499,1,1,1,111
100326,50,14,194686,3,5,5,355
100329,159,6,39474,2,2,2,222
100333,7,13,166287,5,5,5,555
100336,260,4,46596,1,2,3,123
100352,34,3,13947,4,1,1,411
100354,374,1,1999,1,1,1,111
100369,87,6,86494,3,2,4,324
100376,100,12,181280,2,4,5,245
100378,13,11,93539,5,4,4,544
100384,114,9,49201,2,4,3,243
100396,48,9,80247,3,4,4,344
100445,116,9,91391,2,4,4,244
100453,72,11,170989,3,4,5,345
100454,137,2,32498,2,1,2,212
100457,28,10,82790,4,4,4,444
100463,47,5,4495,4,2,1,421
100468,13,6,32144,5,2,2,522
100484,11,9,25841,5,4,2,542
100489,108,1,299,2,1,1,211
100536,514,1,34999,1,1,2,112
100545,34,4,30496,4,2,2,422
100599,32,6,15894,4,2,2,422
100647,211,2,3498,1,1,1,111
100649,18,3,13553,5,1,1,511
100676,309,2,62998,1,1,3,113
100690,171,4,41057,2,2,2,222
100698,34,10,35546,4,4,2,442
100720,24,6,115294,4,2,4,424
100729,58,8,19292,3,3,2,332
100732,423,2,998,1,1,1,111
100741,19,21,163879,4,5,5,455
100792,67,10,81890,3,4,4,344
100797,127,6,57394,2,2,3,223
100801,101,9,68891,2,4,3,243
100806,13,30,193420,5,5,5,555
100810,206,3,6197,1,1,1,111
100833,423,6,7694,1,2,1,121
100842,96,6,22694,2,2,2,222
100845,213,1,799,1,1,1,111
100853,77,8,17002,3,3,2,332
100855,14,4,10296,5,2,1,521
100858,100,7,16993,2,3,2,232
100862,144,2,1898,2,1,1,211
100877,79,7,78393,3,3,4,334
100898,6,10,163290,5,4,5,545
100903,90,10,146540,3,4,5,345
100923,104,9,129691,2,4,5,245
100929,0,6,65244,5,2,3,523
100973,25,19,172437,4,5,5,455
100993,82,3,37497,3,1,2,312
100997,26,37,383124,4,5,5,455
101007,61,13,56217,3,5,3,353
101013,62,4,65996,3,2,3,323
101023,31,30,156520,4,5,5,455
101039,94,7,34553,2,3,2,232
101043,10,5,46495,5,2,3,523
101045,1,8,30892,5,3,2,532
101087,83,10,74340,3,4,3,343
101112,14,28,261389,5,5,5,555
101116,31,9,73541,4,4,3,443
101123,214,3,69497,1,1,3,113
101126,60,10,77490,3,4,4,344
101127,219,10,62090,1,4,3,143
101137,225,9,74447,1,4,3,143
101150,99,9,109491,2,4,4,244
101157,187,3,38247,1,1,2,112
101168,78,3,39497,3,1,2,312
101193,42,5,62995,4,2,3,423
101197,31,16,202094,4,5,5,455
101261,13,30,311236,5,5,5,555
101291,496,1,1999,1,1,1,111
101326,116,7,122493,2,3,4,234
101345,88,5,28995,3,2,2,322
101361,155,6,90994,2,2,4,224
101362,9,27,430273,5,5,5,555
101368,23,5,71795,4,2,3,423
101369,61,12,60368,3,4,3,343
101377,125,28,213622,2,5,5,255
101378,4,8,96892,5,3,4,534
101381,6,20,108880,5,5,4,554
101382,37,5,2805,4,2,1,421
101389,8,25,224925,5,5,5,555
101397,79,6,52794,3,2,3,323
101414,63,4,26596,3,2,2,322
101454,312,8,98142,1,3,4,134
101464,103,6,55794,2,2,3,223
101491,485,3,35597,1,1,2,112
101503,467,1,29999,1,1,2,112
101512,14,10,111420,5,4,4,544
101517,343,2,1698,1,1,1,111
101562,133,9,92991,2,4,4,244
101573,260,2,1598,1,1,1,111
101580,222,2,15698,1,1,2,112
101582,220,2,269,1,1,1,111
101584,94,3,18297,2,1,2,212
101591,661,3,7897,1,1,1,111
101609,45,7,83293,4,3,4,434
101615,157,9,11891,2,4,1,241
101620,6,10,58240,5,4,3,543
101657,3,23,391277,5,5,5,555
101696,44,27,227194,4,5,5,455
101698,26,20,163891,4,5,5,455
101705,150,6,56550,2,2,3,223
101710,135,8,87892,2,3,4,234
101726,204,3,42297,1,1,2,112
101739,164,5,14995,2,2,1,221
101757,501,3,2697,1,1,1,111
101761,18,19,244918,5,5,5,555
101765,94,9,139491,2,4,5,245
101787,31,7,34793,4,3,2,432
101842,39,18,117192,4,5,4,454
101854,46,6,81494,4,2,4,424
101877,155,7,113459,2,3,4,234
101899,21,8,88792,4,3,4,434
101909,43,6,132594,4,2,5,425
101936,1,4,60057,5,2,3,523
101939,319,6,30244,1,2,2,122
101945,163,1,2999,2,1,1,211
101956,20,25,346225,4,5,5,455
101965,28,6,47194,4,2,3,423
101972,9,21,123079,5,5,4,554
101978,6,29,357332,5,5,5,555
101987,80,7,23993,3,3,2,332
102014,218,5,20795,1,2,2,122
102015,24,26,249385,4,5,5,455
102089,120,7,55614,2,3,3,233
102104,6,30,336770,5,5,5,555
102131,4,10,70490,5,4,3,543
102145,275,5,8645,1,2,1,121
102148,281,4,19976,1,2,2,122
102162,67,7,29423,3,3,2,332
102173,152,7,64393,2,3,3,233
102204,26,6,74294,4,2,3,423
102209,44,10,102190,4,4,4,444
102234,20,16,221634,4,5,5,455
102242,355,4,32996,1,2,2,122
102250,216,2,2998,1,1,1,111
102252,77,16,82105,3,5,4,354
102253,244,2,10798,1,1,1,111
102270,146,5,8795,2,2,1,221
102292,33,6,44594,4,2,3,423
102296,41,2,20198,4,1,2,412
102298,24,30,242870,4,5,5,455
102312,17,9,33541,5,4,2,542
102416,132,3,36497,2,1,2,212
102418,53,1,299,3,1,1,311
102420,1,22,135844,5,5,5,555
102457,335,1,499,1,1,1,111
102461,262,5,27675,1,2,2,122
102472,64,9,69141,3,4,3,343
102480,278,1,599,1,1,1,111
102487,157,8,38342,2,3,2,232
102516,109,2,5498,2,1,1,211
102519,38,29,182571,4,5,5,455
