Recency,Frequency,Monetary,Cluster,Segment
135,5,98095,1,Regular Shoppers
315,3,39147,2,Churned Customers
61,10,55240,1,Regular Shoppers
7,9,153991,3,Potential High-Value
688,1,59999,2,Churned Customers
7,23,225048,0,Loyal Customers
34,8,70142,1,Regular Shoppers
292,4,9796,2,Churned Customers
82,5,43195,1,Regular Shoppers
38,5,94995,1,Regular Shoppers
33,9,41257,1,Regular Shoppers
50,5,34595,1,Regular Shoppers
38,24,199376,0,Loyal Customers
121,3,110997,1,Regular Shoppers
89,9,30271,1,Regular Shoppers
247,3,2497,2,Churned Customers
62,21,70879,3,Potential High-Value
17,6,61794,1,Regular Shoppers
12,4,56696,1,Regular Shoppers
145,3,5897,1,Regular Shoppers
85,4,5607,1,Regular Shoppers
596,2,12998,2,Churned Customers
13,4,53946,1,Regular Shoppers
41,23,111457,3,Potential High-Value
260,10,85257,1,Regular Shoppers
110,8,8742,1,Regular Shoppers
25,8,45592,1,Regular Shoppers
63,9,96341,3,Potential High-Value
437,1,499,2,Churned Customers
50,14,194686,3,Potential High-Value
159,6,39474,1,Regular Shoppers
7,13,166287,3,Potential High-Value
260,4,46596,2,Churned Customers
34,3,13947,1,Regular Shoppers
374,1,1999,2,Churned Customers
87,6,86494,1,Regular Shoppers
100,12,181280,3,Potential High-Value
13,11,93539,3,Potential High-Value
114,9,49201,1,Regular Shoppers
48,9,80247,3,Potential High-Value
116,9,91391,3,Potential High-Value
72,11,170989,3,Potential High-Value
137,2,32498,1,Regular Shoppers
28,10,82790,3,Potential High-Value
47,5,4495,1,Regular Shoppers
13,6,32144,1,Regular Shoppers
11,9,25841,1,Regular Shoppers
108,1,299,1,Regular Shoppers
514,1,34999,2,Churned Customers
34,4,30496,1,Regular Shoppers
32,6,15894,1,Regular Shoppers
211,2,3498,1,Regular Shoppers
18,3,13553,1,Regular Shoppers
309,2,62998,2,Churned Customers
171,4,41057,1,Regular Shoppers
34,10,35546,1,Regular Shoppers
24,6,115294,3,Potential High-Value
58,8,19292,1,Regular Shoppers
423,2,998,2,Churned Customers
19,21,163879,0,Loyal Customers
67,10,81890,3,Potential High-Value
127,6,57394,1,Regular Shoppers
101,9,68891,1,Regular Shoppers
13,30,193420,0,Loyal Customers
206,3,6197,1,Regular Shoppers
423,6,7694,2,Churned Customers
96,6,22694,1,Regular Shoppers
213,1,799,1,Regular Shoppers
77,8,17002,1,Regular Shoppers
14,4,10296,1,Regular Shoppers
100,7,16993,1,Regular Shoppers
144,2,1898,1,Regular Shoppers
79,7,78393,1,Regular Shoppers
6,10,163290,3,Potential High-Value
90,10,146540,3,Potential High-Value
104,9,129691,3,Potential High-Value
0,6,65244,1,Regular Shoppers
25,19,172437,3,Potential High-Value
82,3,37497,1,Regular Shoppers
26,37,383124,0,Loyal Customers
61,13,56217,3,Potential High-Value
62,4,65996,1,Regular Shoppers
31,30,156520,0,Loyal Customers
94,7,34553,1,Regular Shoppers
10,5,46495,1,Regular Shoppers
1,8,30892,1,Regular Shoppers
83,10,74340,3,Potential High-Value
14,28,261389,0,Loyal Customers
31,9,73541,3,Potential High-Value
214,3,69497,1,Regular Shoppers
60,10,77490,3,Potential High-Value
219,10,62090,1,Regular Shoppers
225,9,74447,1,Regular Shoppers
99,9,109491,3,Potential High-Value
187,3,38247,1,Regular Shoppers
78,3,39497,1,Regular Shoppers
42,5,62995,1,Regular Shoppers
31,16,202094,3,Potential High-Value
13,30,311236,0,Loyal Customers
496,1,1999,2,Churned Customers
116,7,122493,3,Potential High-Value
88,5,28995,1,Regular Shoppers
155,6,90994,1,Regular Shoppers
9,27,430273,0,Loyal Customers
23,5,71795,1,Regular Shoppers
61,12,60368,3,Potential High-Value
125,28,213622,0,Loyal Customers
4,8,96892,3,Potential High-Value
6,20,108880,3,Potential High-Value
37,5,2805,1,Regular Shoppers
8,25,224925,0,Loyal Customers
79,6,52794,1,Regular Shoppers
63,4,26596,1,Regular Shoppers
312,8,98142,2,Churned Customers
103,6,55794,1,Regular Shoppers
485,3,35597,2,Churned Customers
467,1,29999,2,Churned Customers
14,10,111420,3,Potential High-Value
343,2,1698,2,Churned Customers
133,9,92991,3,Potential High-Value
260,2,1598,2,Churned Customers
222,2,15698,1,Regular Shoppers
220,2,269,1,Regular Shoppers
94,3,18297,1,Regular Shoppers
661,3,7897,2,Churned Customers
45,7,83293,1,Regular Shoppers
157,9,11891,1,Regular Shoppers
6,10,58240,3,Potential High-Value
3,23,391277,0,Loyal Customers
44,27,227194,0,Loyal Customers
26,20,163891,3,Potential High-Value
150,6,56550,1,Regular Shoppers
135,8,87892,1,Regular Shoppers
204,3,42297,1,Regular Shoppers
164,5,14995,1,Regular Shoppers
501,3,2697,2,Churned Customers
18,19,244918,0,Loyal Customers
94,9,139491,3,Potential High-Value
31,7,34793,1,Regular Shoppers
39,18,117192,3,Potential High-Value
46,6,81494,1,Regular Shoppers
155,7,113459,3,Potential High-Value
21,8,88792,3,Potential High-Value
43,6,132594,3,Potential High-Value
1,4,60057,1,Regular Shoppers
319,6,30244,2,Churned Customers
163,1,2999,1,Regular Shoppers
20,25,346225,0,Loyal Customers
28,6,47194,1,Regular Shoppers
9,21,123079,3,Potential High-Value
6,29,357332,0,Loyal Customers
80,7,23993,1,Regular Shoppers
218,5,20795,1,Regular Shoppers
24,26,249385,0,Loyal Customers
120,7,55614,1,Regular Shoppers
6,30,336770,0,Loyal Customers
4,10,70490,3,Potential High-Value
275,5,8645,2,Churned Customers
281,4,19976,2,Churned Customers
67,7,29423,1,Regular Shoppers
152,7,64393,1,Regular Shoppers
26,6,74294,1,Regular Shoppers
44,10,102190,3,Potential High-Value
20,16,221634,3,Potential High-Value
355,4,32996,2,Churned Customers
216,2,2998,1,Regular Shoppers
77,16,82105,3,Potential High-Value
244,2,10798,2,Churned Customers
146,5,8795,1,Regular Shoppers
33,6,44594,1,Regular Shoppers
41,2,20198,1,Regular Shoppers
24,30,242870,0,Loyal Customers
17,9,33541,1,Regular Shoppers
132,3,36497,1,Regular Shoppers
53,1,299,1,Regular Shoppers
1,22,135844,3,Potential High-Value
335,1,499,2,Churned Customers
262,5,27675,2,Churned Customers
64,9,69141,1,Regular Shoppers
278,1,599,2,Churned Customers
157,8,38342,1,Regular Shoppers
109,2,5498,1,Regular Shoppers
38,29,182571,0,Loyal Customers
64,2,39498,1,Regular Shoppers
24,16,109214,3,Potential High-Value
35,12,102038,3,Potential High-Value
12,9,57041,1,Regular Shoppers
4,17,120534,3,Potential High-Value
15,19,269141,0,Loyal Customers
312,10,10651,2,Churned Customers
530,1,599,2,Churned Customers
362,2,1898,2,Churned Customers
83,2,28498,1,Regular Shoppers
57,27,119554,0,Loyal Customers
36,6,55044,1,Regular Shoppers
20,4,6296,1,Regular Shoppers
185,9,152341,3,Potential High-Value
224,6,110394,1,Regular Shoppers
64,10,142840,3,Potential High-Value
698,1,29999,2,Churned Customers
44,7,21059,1,Regular Shoppers
52,13,136548,3,Potential High-Value
90,3,75897,1,Regular Shoppers
7,9,165391,3,Potential High-Value
122,2,20998,1,Regular Shoppers
128,14,106808,3,Potential High-Value
24,14,193796,3,Potential High-Value
231,5,95995,1,Regular Shoppers
9,26,190024,0,Loyal Customers
429,1,999,2,Churned Customers
22,37,453713,0,Loyal Customers
65,1,2999,1,Regular Shoppers
671,1,599,2,Churned Customers
52,4,7196,1,Regular Shoppers
241,5,6375,1,Regular Shoppers
251,10,79846,1,Regular Shoppers
191,8,64292,1,Regular Shoppers
270,1,4499,2,Churned Customers
40,5,52495,1,Regular Shoppers
68,10,57580,1,Regular Shoppers
32,9,52171,1,Regular Shoppers
73,5,190546,3,Potential High-Value
35,22,259008,0,Loyal Customers
44,6,59844,1,Regular Shoppers
170,2,6498,1,Regular Shoppers
4,31,345079,0,Loyal Customers
180,9,130091,3,Potential High-Value
122,3,62997,1,Regular Shoppers
292,10,88190,2,Churned Customers
9,7,48093,1,Regular Shoppers
546,1,4999,2,Churned Customers
3,30,429497,0,Loyal Customers
80,9,109791,3,Potential High-Value
65,29,349932,0,Loyal Customers
13,6,41194,1,Regular Shoppers
78,9,67341,1,Regular Shoppers
195,7,10493,1,Regular Shoppers
80,10,38190,1,Regular Shoppers
61,4,7352,1,Regular Shoppers
378,4,6096,2,Churned Customers
333,3,4697,2,Churned Customers
60,8,44692,1,Regular Shoppers
363,3,32097,2,Churned Customers
21,6,11694,1,Regular Shoppers
43,17,93363,3,Potential High-Value
11,2,34498,1,Regular Shoppers
37,6,44594,1,Regular Shoppers
220,10,116640,3,Potential High-Value
0,30,316386,0,Loyal Customers
0,7,30693,1,Regular Shoppers
5,18,129192,3,Potential High-Value
267,3,35497,2,Churned Customers
11,10,94090,3,Potential High-Value
33,21,301179,0,Loyal Customers
64,6,55294,1,Regular Shoppers
151,10,84861,3,Potential High-Value
195,10,77990,1,Regular Shoppers
54,26,204124,0,Loyal Customers
35,12,181688,3,Potential High-Value
1,10,40300,1,Regular Shoppers
121,8,76592,1,Regular Shoppers
121,3,46197,1,Regular Shoppers
53,9,46351,1,Regular Shoppers
23,8,138863,3,Potential High-Value
10,9,141152,3,Potential High-Value
81,9,60701,1,Regular Shoppers
45,6,21194,1,Regular Shoppers
53,6,109794,3,Potential High-Value
9,8,40442,1,Regular Shoppers
35,9,100941,3,Potential High-Value
712,1,34999,2,Churned Customers
18,10,39790,1,Regular Shoppers
98,10,112840,3,Potential High-Value
41,29,243571,0,Loyal Customers
205,4,2946,1,Regular Shoppers
7,5,3995,1,Regular Shoppers
33,19,205137,0,Loyal Customers
19,23,206587,0,Loyal Customers
440,2,2648,2,Churned Customers
16,8,56292,1,Regular Shoppers
97,6,30144,1,Regular Shoppers
21,6,66160,1,Regular Shoppers
27,9,115991,3,Potential High-Value
7,25,158046,0,Loyal Customers
67,8,28343,1,Regular Shoppers
7,23,445457,0,Loyal Customers
27,8,93692,3,Potential High-Value
26,26,354535,0,Loyal Customers
103,9,22841,1,Regular Shoppers
52,8,39302,1,Regular Shoppers
89,9,78247,3,Potential High-Value
480,3,33847,2,Churned Customers
41,9,72291,3,Potential High-Value
355,1,899,2,Churned Customers
24,7,11373,1,Regular Shoppers
15,30,332679,0,Loyal Customers
17,4,15396,1,Regular Shoppers
56,1,999,1,Regular Shoppers
51,6,57555,1,Regular Shoppers
7,10,231790,3,Potential High-Value
164,10,110390,3,Potential High-Value
53,12,120988,3,Potential High-Value
296,7,21893,2,Churned Customers
310,1,499,2,Churned Customers
17,9,11577,1,Regular Shoppers
33,10,174690,3,Potential High-Value
17,24,114232,3,Potential High-Value
4,30,335520,0,Loyal Customers
58,4,26596,1,Regular Shoppers
564,1,2999,2,Churned Customers
29,1,1299,1,Regular Shoppers
177,4,3707,1,Regular Shoppers
430,8,118392,2,Churned Customers
6,5,71795,1,Regular Shoppers
90,5,34045,1,Regular Shoppers
144,7,38193,1,Regular Shoppers
86,10,97190,3,Potential High-Value
26,17,151633,3,Potential High-Value
114,5,53895,1,Regular Shoppers
162,9,213862,3,Potential High-Value
204,9,72691,1,Regular Shoppers
6,30,316326,0,Loyal Customers
82,10,123000,3,Potential High-Value
110,9,24952,1,Regular Shoppers
10,22,115178,3,Potential High-Value
1,9,137541,3,Potential High-Value
102,6,31294,1,Regular Shoppers
117,4,68496,1,Regular Shoppers
656,2,5998,2,Churned Customers
29,11,85489,3,Potential High-Value
345,8,132402,2,Churned Customers
40,17,116693,3,Potential High-Value
41,3,50068,1,Regular Shoppers
86,7,85973,1,Regular Shoppers
506,1,50,2,Churned Customers
65,5,127395,3,Potential High-Value
4,27,173839,0,Loyal Customers
13,1,3499,1,Regular Shoppers
51,6,18994,1,Regular Shoppers
27,10,59640,3,Potential High-Value
148,5,11545,1,Regular Shoppers
293,1,2999,2,Churned Customers
24,8,110592,3,Potential High-Value
296,6,51994,2,Churned Customers
206,5,28595,1,Regular Shoppers
0,25,177881,0,Loyal Customers
62,13,101637,3,Potential High-Value
58,10,99290,3,Potential High-Value
6,21,208729,0,Loyal Customers
86,29,346237,0,Loyal Customers
238,5,8295,1,Regular Shoppers
7,35,255915,0,Loyal Customers
53,5,32095,1,Regular Shoppers
100,1,349,1,Regular Shoppers
87,7,44793,1,Regular Shoppers
4,15,122765,3,Potential High-Value
195,1,4999,1,Regular Shoppers
193,6,101994,1,Regular Shoppers
138,3,6197,1,Regular Shoppers
10,8,36792,1,Regular Shoppers
30,13,141087,3,Potential High-Value
108,10,83590,3,Potential High-Value
43,28,336472,0,Loyal Customers
59,10,183890,3,Potential High-Value
43,10,126541,3,Potential High-Value
181,9,109841,3,Potential High-Value
110,7,35044,1,Regular Shoppers
24,22,143708,3,Potential High-Value
31,53,490296,0,Loyal Customers
377,3,51397,2,Churned Customers
201,5,30205,1,Regular Shoppers
52,7,52959,1,Regular Shoppers
130,8,61892,1,Regular Shoppers
6,26,235857,0,Loyal Customers
20,22,151988,0,Loyal Customers
1,10,101380,3,Potential High-Value
122,10,71361,1,Regular Shoppers
44,14,188916,3,Potential High-Value
10,8,61692,1,Regular Shoppers
185,8,36202,1,Regular Shoppers
42,4,9646,1,Regular Shoppers
108,2,6498,1,Regular Shoppers
290,5,45495,2,Churned Customers
137,7,8449,1,Regular Shoppers
101,9,96291,3,Potential High-Value
66,8,89953,3,Potential High-Value
56,16,147564,3,Potential High-Value
275,1,19999,2,Churned Customers
43,29,138128,0,Loyal Customers
105,4,28296,1,Regular Shoppers
106,1,2499,1,Regular Shoppers
9,32,263396,0,Loyal Customers
0,22,213628,0,Loyal Customers
4,10,165490,3,Potential High-Value
70,7,103693,3,Potential High-Value
11,4,26196,1,Regular Shoppers
24,4,6196,1,Regular Shoppers
27,6,7344,1,Regular Shoppers
168,6,72394,1,Regular Shoppers
15,10,14990,1,Regular Shoppers
26,1,49999,1,Regular Shoppers
188,8,69872,1,Regular Shoppers
694,1,599,2,Churned Customers
31,19,319181,0,Loyal Customers
46,14,187786,3,Potential High-Value
17,21,102579,3,Potential High-Value
361,4,28297,2,Churned Customers
116,3,22797,1,Regular Shoppers
20,1,15999,1,Regular Shoppers
12,7,45193,1,Regular Shoppers
37,26,219034,0,Loyal Customers
69,21,235130,0,Loyal Customers
62,9,91391,3,Potential High-Value
434,1,34999,2,Churned Customers
10,4,51996,1,Regular Shoppers
143,4,101996,1,Regular Shoppers
157,3,15497,1,Regular Shoppers
42,8,94392,3,Potential High-Value
9,7,19714,1,Regular Shoppers
393,1,42999,2,Churned Customers
118,7,112993,3,Potential High-Value
95,1,499,1,Regular Shoppers
21,43,366853,0,Loyal Customers
7,11,63489,3,Potential High-Value
7,9,41441,1,Regular Shoppers
19,14,95686,3,Potential High-Value
234,9,11941,1,Regular Shoppers
12,29,223001,0,Loyal Customers
475,1,1999,2,Churned Customers
155,8,73342,1,Regular Shoppers
259,2,2098,2,Churned Customers
27,11,84839,3,Potential High-Value
0,29,85342,0,Loyal Customers
6,22,105149,3,Potential High-Value
95,10,186690,3,Potential High-Value
10,9,52712,1,Regular Shoppers
60,12,78688,3,Potential High-Value
90,8,22192,1,Regular Shoppers
234,1,9999,1,Regular Shoppers
83,4,5446,1,Regular Shoppers
15,9,73151,3,Potential High-Value
39,9,116841,3,Potential High-Value
158,2,628,1,Regular Shoppers
293,4,26246,2,Churned Customers
157,3,36997,1,Regular Shoppers
109,4,15896,1,Regular Shoppers
132,13,85758,3,Potential High-Value
148,8,110492,3,Potential High-Value
197,5,65356,1,Regular Shoppers
24,10,42746,1,Regular Shoppers
15,9,36991,1,Regular Shoppers
58,2,3798,1,Regular Shoppers
15,5,143995,3,Potential High-Value
120,9,50341,1,Regular Shoppers
426,4,74996,2,Churned Customers
48,3,29797,1,Regular Shoppers
45,7,36193,1,Regular Shoppers
4,6,126494,3,Potential High-Value
113,9,100041,3,Potential High-Value
17,8,93692,3,Potential High-Value
179,1,2499,1,Regular Shoppers
273,1,3999,2,Churned Customers
289,5,7066,2,Churned Customers
42,6,29694,1,Regular Shoppers
195,1,4499,1,Regular Shoppers
81,10,44690,1,Regular Shoppers
211,3,5997,1,Regular Shoppers
4,16,62694,3,Potential High-Value
39,19,118512,3,Potential High-Value
82,7,27243,1,Regular Shoppers
127,5,95905,1,Regular Shoppers
81,4,93246,1,Regular Shoppers
56,3,33397,1,Regular Shoppers
10,9,54641,1,Regular Shoppers
6,3,3897,1,Regular Shoppers
57,4,42296,1,Regular Shoppers
40,7,53493,1,Regular Shoppers
284,2,90598,2,Churned Customers
54,10,188790,3,Potential High-Value
7,26,257795,0,Loyal Customers
255,2,1098,2,Churned Customers
121,19,128281,3,Potential High-Value
283,4,33996,2,Churned Customers
116,8,55192,1,Regular Shoppers
6,23,217698,0,Loyal Customers
109,3,3497,1,Regular Shoppers
35,23,211728,0,Loyal Customers
6,12,216538,3,Potential High-Value
685,1,1499,2,Churned Customers
58,6,41724,1,Regular Shoppers
13,5,59395,1,Regular Shoppers
331,5,8595,2,Churned Customers
13,9,106691,3,Potential High-Value
16,7,48793,1,Regular Shoppers
6,9,173172,3,Potential High-Value
196,9,66491,1,Regular Shoppers
257,1,349,2,Churned Customers
47,14,93912,3,Potential High-Value
91,17,394683,0,Loyal Customers
115,10,30600,1,Regular Shoppers
137,9,108791,3,Potential High-Value
101,8,64492,1,Regular Shoppers
25,4,5296,1,Regular Shoppers
29,10,102046,3,Potential High-Value
286,8,16342,2,Churned Customers
165,6,26494,1,Regular Shoppers
42,10,72026,3,Potential High-Value
41,10,99500,3,Potential High-Value
24,14,77486,3,Potential High-Value
70,6,47965,1,Regular Shoppers
366,5,7666,2,Churned Customers
222,6,63494,1,Regular Shoppers
98,7,83393,1,Regular Shoppers
729,1,199,2,Churned Customers
90,2,15998,1,Regular Shoppers
5,9,32191,1,Regular Shoppers
12,26,323596,0,Loyal Customers
15,25,308955,0,Loyal Customers
39,6,93224,3,Potential High-Value
14,7,99193,3,Potential High-Value
107,7,13693,1,Regular Shoppers
209,7,103893,1,Regular Shoppers
73,4,39296,1,Regular Shoppers
262,6,41174,2,Churned Customers
47,6,27494,1,Regular Shoppers
483,1,299,2,Churned Customers
6,8,41942,1,Regular Shoppers
203,4,10246,1,Regular Shoppers
27,26,173324,0,Loyal Customers
229,4,5496,1,Regular Shoppers
72,10,95241,3,Potential High-Value
211,11,169989,3,Potential High-Value
279,5,87295,2,Churned Customers
48,12,79488,3,Potential High-Value
11,30,208820,0,Loyal Customers
30,22,250928,0,Loyal Customers
45,6,19044,1,Regular Shoppers
114,8,61822,1,Regular Shoppers
28,5,13966,1,Regular Shoppers
50,29,82401,0,Loyal Customers
54,19,179442,3,Potential High-Value
44,16,47294,3,Potential High-Value
0,30,188720,0,Loyal Customers
154,6,15294,1,Regular Shoppers
176,1,2499,1,Regular Shoppers
78,9,57741,1,Regular Shoppers
22,7,116544,3,Potential High-Value
0,6,7294,1,Regular Shoppers
64,17,320913,0,Loyal Customers
33,7,92209,3,Potential High-Value
1,16,97084,3,Potential High-Value
23,8,89392,3,Potential High-Value
143,9,113141,3,Potential High-Value
90,11,57489,1,Regular Shoppers
124,5,88056,1,Regular Shoppers
42,5,58295,1,Regular Shoppers
240,2,3598,2,Churned Customers
83,2,1698,1,Regular Shoppers
27,4,30796,1,Regular Shoppers
66,10,43461,1,Regular Shoppers
51,6,12245,1,Regular Shoppers
27,5,66595,1,Regular Shoppers
108,15,119735,3,Potential High-Value
61,3,82497,1,Regular Shoppers
124,10,56320,1,Regular Shoppers
7,8,66292,1,Regular Shoppers
8,24,236276,0,Loyal Customers
15,6,68194,1,Regular Shoppers
2,9,112191,3,Potential High-Value
181,4,6296,1,Regular Shoppers
80,6,17994,1,Regular Shoppers
38,10,57611,1,Regular Shoppers
291,6,88494,2,Churned Customers
135,1,1999,1,Regular Shoppers
398,3,5847,2,Churned Customers
31,5,50795,1,Regular Shoppers
250,4,16746,2,Churned Customers
508,2,84998,2,Churned Customers
52,10,17590,1,Regular Shoppers
22,17,168983,3,Potential High-Value
230,5,57695,1,Regular Shoppers
64,14,151886,3,Potential High-Value
61,9,20391,1,Regular Shoppers
29,9,207891,3,Potential High-Value
70,7,114343,3,Potential High-Value
14,26,367204,0,Loyal Customers
305,2,698,2,Churned Customers
95,11,75340,3,Potential High-Value
30,26,218196,0,Loyal Customers
465,2,20498,2,Churned Customers
159,2,2098,1,Regular Shoppers
100,13,84888,3,Potential High-Value
75,7,110793,3,Potential High-Value
6,17,246683,0,Loyal Customers
102,5,79095,1,Regular Shoppers
370,3,41797,2,Churned Customers
62,9,54927,1,Regular Shoppers
126,7,14493,1,Regular Shoppers
110,3,44297,1,Regular Shoppers
86,10,46690,1,Regular Shoppers
11,10,173640,3,Potential High-Value
6,22,124228,3,Potential High-Value
11,7,83393,3,Potential High-Value
125,8,55592,1,Regular Shoppers
216,2,748,1,Regular Shoppers
30,9,131991,3,Potential High-Value
149,4,25246,1,Regular Shoppers
8,36,262785,0,Loyal Customers
86,4,10996,1,Regular Shoppers
35,9,29221,1,Regular Shoppers
144,6,43994,1,Regular Shoppers
94,10,55740,1,Regular Shoppers
245,6,165994,3,Potential High-Value
136,2,7198,1,Regular Shoppers
500,1,599,2,Churned Customers
62,5,63395,1,Regular Shoppers
5,8,83492,3,Potential High-Value
14,7,57043,1,Regular Shoppers
95,8,115392,3,Potential High-Value
175,10,94240,3,Potential High-Value
31,8,102292,3,Potential High-Value
53,3,8297,1,Regular Shoppers
122,11,114989,3,Potential High-Value
48,6,7155,1,Regular Shoppers
145,7,144893,3,Potential High-Value
55,5,41295,1,Regular Shoppers
61,9,107241,3,Potential High-Value
